Título,Referenciado en,Agregado por,,,,,,
"Gorriti, Juana Manuela. Perfiles. Obras Completas. Tomo III. Salta: Fundación del Banco del Noroeste Coop. Ltdo., 1992.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Groussac, Paul. “España y Estados Unidos.” El viaje intelectual. Impresiones de naturaleza y arte. Primera Serie. Madrid: Librería General de Victoriano Suárez, 1904.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Guaman Poma de Ayala, Felipe. El primer nueva corónica y buen gobierno. Edited by John Murra and Rolena Adorno. Translated by J. L. Urioste. 3 vols. Mexico City: Siglo XXI, 1980. First published in 1615.",Food Studies,Vanesa Miseres,,,,,,
"Gómez de Avellaneda, Gertrudis. Memorias Inéditas de la Avellaneda. La Habana: Biblioteca Nacional, 1914",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Gómez, Manuel Ubaldo. Resumen de la historia de Santo Domingo. Santo Domingo: Editora de Santo Domingo/Sociedad Dominicana de Bibliófilos, 1983.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Góngora, Luis de. Soledades.",Espectros y conjuras; Instable puente,Carlos Jáuregui; Juan Vitulli,,,,,,
"Henríquez Ureña. Pedro. Ensayos. Ed. José Luis Abellán y Ana María Barrenechea. México: Colección Archivos, 1998.",Instable puente,Juan Vitulli,,,,,,
"Herrera, Antonio de. Historia general de los hechos de los castellanos en las islas i tierra firme del Mar Océano escrita por Antonio de Herrera ... en Quatro décadas desde el ano de 1492 hasta el de 1531. Decada terzera, vol. 3. Madrid: Imprenta Real, 1601.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Isaács, Jorge. María. 1866. Reprint, Madrid: Sociedad General Española de Librerí a, 1983.",Food Studies,Vanesa Miseres,,,,,,
"Isidoro de Sevilla. Etimologías II (libros XI XX). Madrid: Biblioteca de Autores Cristianos, 1994.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Jiménez de la Espada, Marcos. Relaciones geográficas de Indias: Perú, 1577–1586. Vol. 1. Edited by José Urbano Martí nez Carreras. Madrid: Atlas, 1965.",Food Studies,Vanesa Miseres,,,,,,
"Juana Inés de la Cruz, sor. Fama, y obras póstumas del fénix de México, y dezima musa, poetisa de la América, sor Juana Inés de la Cruz, religiosa professa en el Convento de San Geronimo, de la Imperial Ciudad de México. Madrid: Imprenta de Manuel Ruiz de Murga, 1700, <http://www.ub.uni-bielefeld.de/diglib/delacruz/ fama/>.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Juana Inés de la Cruz, sor. Loa para el auto intitulado El cetro de José. Obras Completas, vol. 3. Ed. Alfonso Méndez Plancarte. Ciudad de México/Toluca: Fondo de Cultura Económica/Instituto Mexiquense de Cultura, [1692], 1951-1957, 1995, pp. 184-200.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Juana Inés de la Cruz, sor. Loa para el auto sacramental de El divino Narciso. Obras Completas, vol. 3. Ed. Alfonso Méndez Plancarte. Ciudad de México/Toluca: Fondo de Cultura Económica/Instituto Mexiquense de Cultura, [1690], 1951-1957, 1995, pp. 3-21",Espectros y conjuras,Carlos Jáuregui,,,,,,
"La Santa Biblia. Versión de Casiodoro de la Reina y revisada por Cipriano de Valera. Nueva York: Sociedad Bíblica Americana, 1935.",Instable puente,Juan Vitulli,,,,,,
"Las Casas, Bartolomé de. Apologética historia sumaria. Ed. Edmundo O’Gorman. Ciudad de México: Universidad Nacional Autónoma de México, [1909], 1967.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Las Casas, Bartolomé de. Brevísima relación de la destrucción de las Indias. Ed. André Saint Lu. Madrid: Cátedra, [1552], 1992.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Las Casas, Bartolomé de. Historia de las Indias. Ed. André Saint-Lu. 3 vols. Caracas: Biblioteca Ayacucho, 1986.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Las Casas, Bartolomé de. Obras completas [OC.], 14 vols. Ed. Paulino Castañeda Delgado. Ma-drid: Alianza, 1988-1998.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Las Casas, Bartolomé de. “Memorial de remedios para las Indias”. Obras completas, vol. 13: Madrid: Alianza Editorial, 1992 pp. 23-48.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Licenciado Villalón. Gramática castellana. Ed. facsimilar y estudio Constantino García. Madrid: Consejo Superior de Investigaciones Científicas (Clásicos Hispánicos), [1558] 1971",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Lizardi, José Joaquín Fernández del. 1816, 1831 [1992]. El Periquillo Sarniento , ed. Carmen Ruíz Barrionuevo. Madrid: Cátedra.",El estado mestizo,Joshua Lund,,,,,,
"Lugones, Leopoldo. El payador. Caracas: Ayacucho, 1999.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Lugones, Leopoldo. Odas seculares. Buenos Aires: A. Moen & Hno, 1910.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"López de Cogolludo, Diego. Historia de Yucathan. Ed. Francisco de Ayeta. Madrid: Jvan García Infanzón, 1688",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Gómara, Francisco. Hispania victrix. Primera y segvnda parte de la historia general de las Indias cõ todo el descubrimiento, y cosas notables que han acaescido dende que se ganaron hasta el año de 1551. Con la conquista de Mexico, y de la nueua España. Medina del Campo: Guillermo de Millis, 1553.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Gómara, Francisco. Historia de México con el descubrimiento dela Nueua España, conquis tada por el muy illustre y valeroso Príncipe don Fernando Cortes, Marqués del Valle. Anuers [i. e. Anvers]: En casa de Iuan Steelsio, 1554.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Gómara, Francisco. Historia general de las Indias. Caracas: Ayacucho, 1979.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Gómara, Francisco. La conquista de México. Con licencia y preuilegio del Príncipe nuestro señor. Çaragoça: Casa de Agustín Millán, 1552.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Gómara, Francisco. La historia general de las Indias con todos los descubrimientos, y cosas notables que han acaescido en ellas, dende [sic] que se ganaron hasta agora. Anvers, En casa de Iuan Steelsio, 1554.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López de Palacios Rubios, Juan. De las islas del mar océano y del dominio de los Reyes de España sobre los Indios [de fray Matías de Paz]. Trad. Carlo Agustín Millares; intr. Silvio Zavala. Ciudad de México: Fondo de Cultura Económica, 1963",Espectros y conjuras,Carlos Jáuregui,,,,,,
"López Portillo y Rojas, José. 1904 . La raza indígena: Breves reflexiones. Mexico, D.F.: Viamonte.",El estado mestizo,Joshua Lund,,,,,,
"López, Lucio. “Don Polidoro (retrato de muchos).” Recuerdos de viaje. Buenos Aires: La Cultura Argentina, 1915. 349-62.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Mansilla, Eduarda. El médico de San Luis. Buenos Aires: Imprenta de La Paz, 1860.",Mujeres en tránsito,Vanesa Miseres,,,,,,
